video_id,duration,duration_seconds
vSRAOvhFF1I,PT5M16S,316.0
HL3wvhv9QGg,PT5M15S,315.0
i2ZHwnKVXK0,PT3M3S,183.0
A8QY1IRPGTY,PT2M51S,171.0
y86ymJNswlE,PT7M53S,473.0
kKFNThEiilU,PT31S,31.0
lJM8qqEy35c,PT10M9S,609.0
k3tWCZu42PQ,PT24M34S,1474.0
MVes87KrWvs,PT6M29S,389.0
ajBJamgZ2nc,PT2M57S,177.0
YcCrw6d3UX4,PT55S,55.0
XHkAjUVoQME,PT2M30S,150.0
Nt4tJHp27u0,PT11M9S,669.0
41kp6qN1Crg,PT3M36S,216.0
7COF8AhH9Z8,PT2M6S,126.0
k-qUBZWor4I,PT4M34S,274.0
FrK2j4cPxSc,PT1M5S,65.0
c9m52-psUmw,PT1M53S,113.0
YRRczTwopgA,PT6M47S,407.0
RZU5HebzuP4,PT30S,30.0
HHtfcjwHERA,PT6M51S,411.0
EsBjHXCG4Us,PT5M55S,355.0
cHB_s970Uyw,PT2M22S,142.0
Z1rZAT2GtmI,PT4M32S,272.0
OHOkdEBpwDc,PT13M50S,830.0
l7VfDVVxiMM,PT12M38S,758.0
V3EYjVPRClU,PT3M29S,209.0
zYX1bgxEAhw,PT54S,54.0
I8TVdFbFMg4,PT10M30S,630.0
VfAOl67WcLY,PT4M54S,294.0
mewW_pRSgEc,PT9M,540.0
89PKbJ2NAqc,PT3M38S,218.0
I6N-XuYllgA,PT5M,300.0
J6iyX87SBP0,PT6M13S,373.0
Up09AUDzLVI,PT8M,480.0
KFaMZUarksA,PT3M36S,216.0
2Nlo2ekTRvI,PT14M46S,886.0
CzmIrPvIzxk,PT4M44S,284.0
9efQnL-nlUg,PT6M7S,367.0
5TLANg1GC7U,PT14M55S,895.0
fIElFIuzGLI,PT15M6S,906.0
taxAD2LePy8,PT21M7S,1267.0
1dQEfL2BfUM,PT6M46S,406.0
CKPMAICRYuw,PT6M59S,419.0
pDf5sHgvo0A,PT2M25S,145.0
mH-Sx0lEGjA,PT1M50S,110.0
TSW9cla5bmw,PT7M45S,465.0
puREqwXzyCI,PT2M40S,160.0
LqSkYMmyUWU,PT33S,33.0
M6LTqtYKDtI,PT3M25S,205.0
3IaL0li-LWU,PT4M32S,272.0
vFK7oWLWapc,PT12M37S,757.0
Da2crn5NXc4,PT19M10S,1150.0
GyvRamX1VyA,PT9M43S,583.0
Yq4_YocuVeg,PT1M8S,68.0
0PW9MWDWLH8,PT7M35S,455.0
SJUhFjNfaZY,PT55S,55.0
leFNoUJmJ9o,PT14M56S,896.0
X5DWRXTOUD0,PT18M54S,1134.0
Zxag9p-63RU,PT2M20S,140.0
FaxqVBYVOVU,PT1H25M13S,5113.0
FTv-CE43PpM,PT39M10S,2350.0
UQHSK-kgONk,PT2M51S,171.0
_akwfRuL4os,PT4M16S,256.0
XcUiOyKclOI,PT4M23S,263.0
CWrjDoEBQsw,PT13M35S,815.0
pmdVVDkvJXU,PT5M25S,325.0
Yhea380bYp0,PT2M26S,146.0
8HTdbCohTXY,PT2M4S,124.0
7cTi6PHUqMw,PT55M29S,3329.0
WKcYTvyoidw,PT2M17S,137.0
NYizLfEYKuY,PT3M54S,234.0
2a52cBN9qOA,PT2M53S,173.0
v6d1rShfyZk,PT13S,13.0
mN4JWnTOSmg,PT1M1S,61.0
t5SXnaaOJfY,PT1M49S,109.0
SW3X7-gk8q0,PT3M42S,222.0
qvLyNeMGdR4,PT32S,32.0
XisRqF3ympA,PT7M57S,477.0
5HUCAF6898w,PT8M17S,497.0
rovAxg5A48Q,PT13M1S,781.0
nkXGohB02V0,PT1M49S,109.0
wV7RsaTY228,PT12M40S,760.0
9VH4yQrU_SY,PT4M41S,281.0
Wen6VQS6NG4,PT5M54S,354.0
JaNmH8A-4NM,PT4M5S,245.0
s7wLPGmnahE,PT1M30S,90.0
KIFiLnPHUoM,PT35M25S,2125.0
aXLS_WDIugk,PT1M6S,66.0
a9i2wTxsxV0,PT30S,30.0
avDL9JRcmgs,PT44S,44.0
TncLBbJ8SZo,PT1M31S,91.0
mqbwgqoF64Q,PT3M,180.0
LmO1y1ISuak,PT12M7S,727.0
xGz_FZ0ePwE,PT4M5S,245.0
kTlv5_Bs8aw,PT4M34S,274.0
LgmxMuW6Fsc,PT3M44S,224.0
AcoALQl7jfA,PT4M49S,289.0
kn4kBibdlWA,PT8M46S,526.0
uUvgMnzplt4,PT5M5S,305.0
IumYMCllMsM,PT3M53S,233.0
